Dataset,Theme,Categories,SubCategories,URL,Date_of_check
Domestic Supply Table,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16350,31/03/2024 12:08:59
Domestic Use Table At Basic Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17930,31/03/2024 12:08:59
Forward And Backward Linkages,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17937,31/03/2024 12:08:59
Import Requirement Coefficients,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16359,31/03/2024 12:08:59
Import Use Table At Basic Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17931,31/03/2024 12:08:59
"Imports, Taxes On Products And Primary Inputs By Final Demand",Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17145,31/03/2024 12:08:59
"Industrial Output By Imports, Taxes On Products And Primary Inputs In Coefficient Form",Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16358,31/03/2024 12:08:59
Industrial Value Added At Basic Prices By Final Expenditure,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16360,31/03/2024 12:08:59
Industry By Industry Flow Matrix,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17688,31/03/2024 12:08:59
Industry By Industry Input-Output Table,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17932,31/03/2024 12:08:59
Industry Output By Final Expenditure,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/16356,31/03/2024 12:08:59
IO Multipliers,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17942,31/03/2024 12:08:59
Net Foreign Exchange Earnings From Exports,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17941,31/03/2024 12:08:59
Output Of Industry By Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17938,31/03/2024 12:08:59
Primary Input Requirement Coefficients Of Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17936,31/03/2024 12:08:59
Primary Inputs By Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17940,31/03/2024 12:08:59
Total Requirement Coefficients,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17934,31/03/2024 12:08:59
Total Requirement Coefficients In Terms Of Value Added,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17935,31/03/2024 12:08:59
Total Supply Table At Purchasers' Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17928,31/03/2024 12:08:59
Total Use Table At Purchasers' Prices,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17929,31/03/2024 12:08:59
Value Added Of Industry By Final Demand,Economy & Prices,National Accounts,"Supply, Use and Input-Output Tables (SUT and IOT)",https://tablebuilder.singstat.gov.sg/table/CT/17939,31/03/2024 12:08:59
