Datasets,Data period,Last updated,Datatype,Source,Dataset url,Date_of_check
Master Plan 2019 Building layer,No Date info,Updated 8 months ago,GEOJSON,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_e8e3249d4433845bdd8034ae44329d9e/view,17/03/2024 20:23:04
Master Plan 2019 SDCP Conserved Building layer,No Date info,Updated 8 months ago,KML,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_3d73d61e5f5fe3ce52ac5d86b395d0b2/view,17/03/2024 20:23:04
Master Plan 2019 SDCP Cycling Path layer,No Date info,Updated 8 months ago,KML,Urban Redevelopment Authority (URA),https://beta.data.gov.sg/datasets/d_4d1c99c6bb6f002ee566b8f55ffb0d58/view,17/03/2024 20:23:04
Course fees of part-time Nitec and ISC courses offered in ITE.,Jan 2013 - Dec 2023,Updated 8 months ago,CSV,https://beta.data.gov.sg/datasets/d_58018dad22616ba30f255b7b28151c1b/view,,17/03/2024 20:23:04
Population of Inmates in Drug Rehabilitation Centre (DRC) by Age Group (2006-2020),Jan 2006 - Dec 2020,Updated 8 months ago,CSV,Singapore Prison Service (SPS),https://beta.data.gov.sg/datasets/d_25efee532ce20dec917270f99aca103b/view,17/03/2024 20:23:04
Convicted Penal Admission by Gender,Jan 2006 - Dec 2022,Updated 8 months ago,CSV,Singapore Prison Service (SPS),https://beta.data.gov.sg/datasets/d_6f684bace4e1e3f234ecf313c39f8a3a/view,17/03/2024 20:23:04
Convicted Penal Admission by Age Group (2020 onwards),Jan 2020 - Dec 2022,Updated 8 months ago,CSV,Singapore Prison Service (SPS),https://beta.data.gov.sg/datasets/d_30868b21a990a0bd15f8e5e2ff1ce489/view,17/03/2024 20:23:04
Inmates admitted to Drug Rehabilitation Centre (DRC) by Age Group (2020 onwards),Jan 2020 - Dec 2022,Updated 9 months ago,CSV,Singapore Prison Service (SPS),https://beta.data.gov.sg/datasets/d_049ed46a84b4c4d88247f0a60177894f/view,17/03/2024 20:23:04
Convicted Penal Population,Jan 2006 - Dec 2022,Updated 8 months ago,CSV,Singapore Prison Service (SPS),https://beta.data.gov.sg/datasets/d_3efb23718cadd9df995624b4c4088721/view,17/03/2024 20:23:04
Convicted Penal Admission,Jan 2006 - Dec 2022,Updated 8 months ago,CSV,Singapore Prison Service (SPS),https://beta.data.gov.sg/datasets/d_aacfbc50148ab8d3adb9745ee45392a5/view,17/03/2024 20:23:04
Median Rent By Town And Flat Type,Apr 2005 - Mar 2023,Updated 8 months ago,CSV,Housing and Development Board (HDB),https://beta.data.gov.sg/datasets/d_23000a00c52996c55106084ed0339566/view,17/03/2024 20:23:04
"Foreign Workforce Excluding Foreign Domestic Workers and Construction, Marine, Process WPH",Dec 2017 - Dec 2022,Updated 9 months ago,CSV,Ministry of Manpower (MOM),https://beta.data.gov.sg/datasets/d_ce0511e418694cd265a3a6fc8c266782/view,17/03/2024 20:23:04
