Event Title,Date,Location,Status,URL,Date_of_check
JB MaQan Food Fest 2023,24 - 26 Nov 2023,"Padang A, Angsana Johor Bahru Mall, Bandar Baru Uda, 81200 Johor Bahru, Johor, Malaysia",ENDED,https://thesmartlocal.com/read/jb-maqan-food-fest-2023/,31/03/2024 14:13:10
Home Team Festival 2023,24 - 26 Nov 2023,"1 Expo Drive, Singapore 486150",ENDED,https://thesmartlocal.com/read/home-team-festival-2023/,31/03/2024 14:13:10
Nom Nom Cinema,24 Nov - 29 Dec 2023,"217 Lavender Street, Haus217, Singapore 338772",ENDED,https://thesmartlocal.com/read/nom-nom-cinema-2023/,31/03/2024 14:13:10
Smart Grandparent'S Day 2023,26 Nov 2023,National Museum of Singapore,ENDED,https://thesmartlocal.com/read/smart-nation-grandparents-day-2023/,31/03/2024 14:13:10
Christmas Wonderland 2023,01 Dec 2023 - 01 Jan 2024,"Gardens By The Bay, 18 Marina Gardens Drive, Singapore 018953",ENDED,https://thesmartlocal.com/read/christmas-wonderland-2023/,31/03/2024 14:13:10
Star On! 2023,03 Dec 2023,"1 Raffles Boulevard, Room 321-322, Summit 1, Suntec Singapore Convention & Exhibition Centre, Singapore 039593",ENDED,https://thesmartlocal.com/read/home-reno-questions/,31/03/2024 14:13:10
Ice Magic,09 Dec 2023 - 21 Jan 2024,"Bayfront Event Space,12A Bayfront Avenue, Singapore 018970",ENDED,https://thesmartlocal.com/read/ice-magic-2023/,31/03/2024 14:13:10
TurboCharged By KF1,14 - 31 Dec 2023,"Bayfront Event Space, 12A Bayfront Avenue, Singapore 018970",ENDED,https://thesmartlocal.com/read/turbocharged-go-karting-marina-bay/,31/03/2024 14:13:10
Bedok Mall Forest Frenzy Carnival 2024,22 Dec 2023 - 02 Jan 2024,"311 New Upper Changi Road, Singapore 467360",ENDED,https://thesmartlocal.com/read/bedok-mall-carnival-2024/,31/03/2024 14:13:10
HarbourFront Centre'S Chinese New Year Celebration,10 Jan - 13 Feb 2022,"1 Maritime Square, Singapore 099253",ENDED,https://thesmartlocal.com/read/harbourfront-centre-cny-2022/,31/03/2024 14:13:10
SIT Open House 2023,14 - 15 Jan 2022,"Suntec Convention and Exhibition Centre, Level 3",ENDED,https://thesmartlocal.com/read/sit-open-house-2023/,31/03/2024 14:13:10
Light To Night 2022,14 Jan - 03 Feb 2022,Civic District,ENDED,https://thesmartlocal.com/read/light-to-night-2022/,31/03/2024 14:13:10
Capitol Singapore CNY 2022,14 Jan - 06 Feb 2022,,ENDED,https://thesmartlocal.com/read/capitol-singapore-cny-2022/,31/03/2024 14:13:10
SHEIN X Atome Pop-Up Store,21 - 25 Jan 2022,"2 Orchard Link, #01-02 MOX @ *SCAPE, Singapore 237978",ENDED,https://thesmartlocal.com/read/cny-outfit-tips/,31/03/2024 14:13:10
Eevee Adventure At Sentosa,29 Jan - 20 Feb 2022,Sentosa,ENDED,https://thesmartlocal.com/read/eevee-adventure-sentosa/,31/03/2024 14:13:10
Van Cleef & Arpels: A Journey Through The Poetry Of Time,12 - 20 Feb 2022,,ENDED,https://thesmartlocal.com/read/van-cleef-arpels-mbs/,31/03/2024 14:13:10
Attack On Titan: The Exhibition,19 Feb - 03 Jul 2022,,ENDED,https://thesmartlocal.com/read/attack-on-titan-exhibition/,31/03/2024 14:13:10
A Date With My Boomer,05 Mar 2022,,ENDED,https://thesmartlocal.com/read/chinatown-free-art-jamming/,31/03/2024 14:13:10
Changi’S Sweetest Treat,11 Mar - 03 May 2022,"65 Airport Boulevard, Changi Airport Terminal 3, Singapore 819663",ENDED,https://thesmartlocal.com/read/changi-airport-chupa-chups/,31/03/2024 14:13:10
Brickman Wonders Of The World 2022,25 Mar - 03 Jul 2022,,ENDED,https://thesmartlocal.com/read/brickman-lego-exhibition-sg/,31/03/2024 14:13:10
