Event Title,Date,Location,Status,URL,Date_of_check
PUMA Run XX Nitro Experience,27 May - 05 Jun 2022,"Bugis+ 201 Victoria Street, Singapore 188067",ENDED,https://thesmartlocal.com/read/puma-bugis-pop-up/,08/04/2024 23:10:32
Wellness Festival Singapore:A Forest Bathing Journey,4th & 12 June,"78 Airport Boulevard, Jewel Changi Airport, Shiseido Forest Valley, Singapore 819666",ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
Wellness Festival Singapore:Craft Fragrance Experience,"3rd, 6th, 7th, 9th & 10th June:,4th-5th & 11th-12th June:","2 Alexandra Road, #02-04 Delta House, Singapore 159919",ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
Wellness Festival Singapore:Wellness Festival Weekend @ Jewel,"11th June:,12th June:","78 Airport Boulevard, Jewel Changi Airport, Shiseido Forest Valley, Singapore 819666",ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
"Wellness Festival Singapore:ClassPass Happy Planet, Happy People!",11th June,Online,ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
Wellness Festival Singapore:Body Movement with Art,4th & 11th June,"676 Woodlands Drive 71, Kampung Admiralty Community Plaza, Singapore 730676",ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
Wellness Festival Singapore:Art Therapy for a Good Cause,4th & 11th June,"60 Airport Boulevard, #01-T2S-02 Changi Airport, Singapore 819643",ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
Wellness Festival Singapore:Ayurveda Wellness Introduction,"5th, 8th, 10th & 12th June","60 Bukit Timah Road, Little India MRT Station, Singapore 229900",ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
Wellness Festival Singapore:Eating Beautifully Workshop,4th June,"281 Joo Chiat Road, Crane Joo Chiat, Singapore 427535",ENDED,https://thesmartlocal.com/read/wellness-festival-singapore/,08/04/2024 23:10:32
I Light Singapore,03 - 26 Jun 2022,Marina Bay,ENDED,https://thesmartlocal.com/read/i-light-singapore-2022/,08/04/2024 23:10:32
Zentosa Fest 2022,04 - 30 Jun 2022,"Palawan Beach, Sentosa",ENDED,https://thesmartlocal.com/read/sentosa-zentosa-fest-2022/,08/04/2024 23:10:32
"Off / On: Everyday Technology That Changed Our Lives, 1970s – 2000s",10 Jun - 01 Oct 2022,National Museum of Singapore,ENDED,https://thesmartlocal.com/read/national-museum-off-on-exhibit/,08/04/2024 23:10:32
"A Walk In The Forest Of Verbs With ""MUJI IS""",12 Jun - 27 Jul 2022,Japan Creative Centre,ENDED,https://thesmartlocal.com/read/muji-exhibition-singapore/,08/04/2024 23:10:32
Drive-In Movie Screening @ Downtown East,25 Jun 2022,"Downtown East Begonia Open-air Carpark, 1 Pasir Ris Close, Singapore 519599",ENDED,https://thesmartlocal.com/read/downtown-east-drive-in-movie/,08/04/2024 23:10:32
Movies By The Beach,01 Jul - 30 Sep 2022,"Southside Beach, 80 Siloso Road, 098969",ENDED,https://thesmartlocal.com/read/movies-by-the-beach-sentosa/,08/04/2024 23:10:32
SkillsFuture Festival,05 Jul - 14 Aug 2022,Various locations,ENDED,https://thesmartlocal.com/read/skillsfuture-festival-2022/,08/04/2024 23:10:32
Cellarfiesta 2022,11 Jul 2022,Online,ENDED,https://thesmartlocal.com/read/cellarbration-cellarfiesta-2022/,08/04/2024 23:10:32
How To Grow Your Wealth In A Turbulent Market,16 Jul 2022,"1 Raffles Boulevard, Suntec Singapore Convention and Exhibition Centre, Hall 406, Singapore 039593",ENDED,https://thesmartlocal.com/read/investing-red-flags/,08/04/2024 23:10:32
The Westin Singapore Wedding Show,23 - 24 Jul 2022,"12 Marina View, Asia Square Tower 2, The Westin Singapore, Singapore 018961",ENDED,https://thesmartlocal.com/read/wedding-planning-singapore/,08/04/2024 23:10:32
Dyson Home Event,25 - 31 Jul 2022,"23 Serangoon Central, NEX, Atrium Level 1, Singapore 556083",ENDED,https://thesmartlocal.com/read/dyson-home-event/,08/04/2024 23:10:32
Fill A Tote,29 - 31 Jul 2022,"Kong Beng Industrial Building, 41 Jalan Pemimpin, Singapore 577186",ENDED,https://thesmartlocal.com/read/books-beyond-borders-sale/,08/04/2024 23:10:32
